hasMore,count,evStations__evStation__totalNumberOfConnectors,evStations__evStation__connectors__connector__connectorType__name,evStations__evStation__connectors__connector__connectorType__id,evStations__evStation__connectors__connector__chargeCapacity,evStations__evStation__connectors__connector__maxPowerLevel,evStations__evStation__connectors__connector__customerChargeLevel,evStations__evStation__connectors__connector__customerConnectorName,evStations__evStation__connectors__connector__fixedCable,evStations__evStation__connectors__connector__connectorDetails__reservable,evStations__evStation__connectors__connector__connectorDetails__privateAccess,evStations__evStation__connectors__connector__connectorDetails__open24x7,evStations__evStation__connectors__connector__connectorDetails__openingHours__regularOpeningHours__daymask,evStations__evStation__connectors__connector__connectorDetails__openingHours__regularOpeningHours__period__from,evStations__evStation__connectors__connector__connectorDetails__openingHours__regularOpeningHours__period__to,evStations__evStation__connectors__connector__connectorDetails__pay,evStations__evStation__connectors__connector__connectorDetails__manufacturer,evStations__evStation__connectors__connector__chargingPoint__chargeMode,evStations__evStation__connectors__connector__chargingPoint__numberOfConnectors,evStations__evStation__evStationDetails__notes,evStations__evStation__address__city,evStations__evStation__address__country,evStations__evStation__address__region,evStations__evStation__address__street,evStations__evStation__address__streetNumber,evStations__evStation__address__postalCode,evStations__evStation__contacts__phone__value,evStations__evStation__contacts__phone__label,evStations__evStation__distance,evStations__evStation__position__latitude,evStations__evStation__position__longitude,evStations__evStation__entrancePosition__latitude,evStations__evStation__entrancePosition__longitude,evStations__evStation__name,evStations__evStation__id,evStations__evStation__lastUpdateTimestamp
TRUE,50,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,Station is located in front of myhealth Medical Centre. Use the Reedy Creek Rd entrance.,Gold Coast,AUS,Queensland,,,4220,6.113E+11,PHONE,2071,-28.09793523,153.4409027,-28.0980065,153.4409575,Stockland / Burleigh Heads,036r7j05-9b6e55bf65714067b685c4dd22b2825c,2020-03-04T10:31:00.937Z
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,,FALSE,,,,,,,3,2,2 chargepoint.,Gold Coast,AUS,Queensland,,,4220,,,2071,-28.09793472,153.4409042,-28.0980056,153.4409587,Stockland Burleigh Heads,036r7j05-64029bc3f82d4d46a476fb2775cf2840,2020-03-04T10:31:00.428Z
,,4,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,4,Ground floor of the GREEN carpark. Accessed via Hooker Boulevard Sunshine Boulevard or flyover from the centre western entry. Proceed to ground floor near entry to shops.,Gold Coast,AUS,Queensland,,,4218,6.113E+11,PHONE,5476,-28.03659322,153.4259493,-28.03651,153.42581,Pacific Fair / Green Carpark-G,036r7j0e-328c6c2503c942f887aa622293144350,2020-03-04T10:31:05.478Z
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,Open daily Valet Parking is conveniently located on Level 1 of the Purple Car Park with direct access up the ramp off Hooker Boulevard.,Gold Coast,AUS,Queensland,Hooker Blvd,,4218,6.113E+11,PHONE,5619,-28.03534958,153.4275182,-28.03484,153.42734,Pacific Fair / Valet Parking,036r7j0e-3d237017208b4068aa1c8431377efd42,2020-03-05T17:56:56.514Z
,,2,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,2,BYO cable.,Gold Coast,AUS,Queensland,Hooker Blvd,,4218,,,5643,-28.03509444,153.4241,-28.0351278,153.4241032,SOFITEL Gold Coast,036r7j0e-eb5077b7bccf4b82957de62137562f4d,2020-03-04T10:31:00.207Z
,,2,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,2,,Gold Coast,AUS,Queensland,Strathaird Rd,,4217,,,8892,-28.00832083,153.4028125,-28.00842,153.40277,Mark McHugh Body Works,036r7j0d-244ecf11f0824da3a04753e7acd149ce,2020-03-04T10:30:58.296Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,1,Station located on the ground floor of the Bruce Bishop Car Park in Section I9. Entry off Beach Road.,Gold Coast,AUS,Queensland,Beach Rd,Oct-14,4217,6.113E+11,PHONE,9185,-28.00329949,153.4274176,-28.00256,153.42726,Gold Coast / Bruce Bishop 01,036r7j0e-6982428b55be4f759a2fb93cc14de9f2,2020-03-05T17:56:55.961Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,,FALSE,,,,,,,3,1,,Gold Coast,AUS,Queensland,Surfers Paradise Blvd,,4217,,,9762,-27.99812917,153.4281028,-27.99817,153.42852,Brucebishop Carpark,036r7j0e-61d4db17a60f4958872ca2b681760e22,2020-03-04T10:31:10.923Z
,,4,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,3,2,,Gold Coast,AUS,Queensland,,,4225,6.113E+11,PHONE,12366,-28.163837,153.514563,-28.1638991,153.514526,Electric Highway - Gold Coast Airport,036r6vpv-5f970245d9904b5bab68326111d76a06,2020-03-04T10:31:11.844Z
,,,IEC 62196-2 type 1 combo (SAE J1772),33,,,,AC/DC combo (Yazaki - type 1),FALSE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,,1,,,,,,,,,,,,,,,,,
